2025-08-26 20:56:00 | 192.168.1.137 | level: Verde | pkt_count: 5 
2025-08-27 18:58:00 | 192.168.1.143 | level: Verde | pkt_count: 8 
2025-08-27 18:57:00 | 192.168.1.149 | level: Verde | pkt_count: 2 
2025-08-27 18:58:00 | 192.168.1.149 | level: Verde | pkt_count: 10 
2025-08-27 18:58:00 | 192.168.1.91 | level: Verde | pkt_count: 10 
2025-08-27 18:58:00 | 192.168.1.100 | level: Verde | pkt_count: 7 
2025-08-27 18:58:00 | 192.168.1.143 | level: Verde | pkt_count: 16 
2025-08-27 18:58:00 | 192.168.1.149 | level: Verde | pkt_count: 12 
2025-08-27 18:58:00 | 192.168.1.91 | level: Verde | pkt_count: 1 
2025-08-27 18:58:00 | 192.168.1.100 | level: Verde | pkt_count: 12 
2025-08-27 18:58:00 | 192.168.1.143 | level: Verde | pkt_count: 20 
2025-08-27 18:58:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-27 18:59:00 | 192.168.1.100 | level: Verde | pkt_count: 4 
2025-08-27 18:59:00 | 192.168.1.143 | level: Verde | pkt_count: 16 
2025-08-27 18:59:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-27 18:59:00 | 254.1.168.192 | level: Verde | pkt_count: 1 
2025-08-27 18:59:00 | 192.168.1.100 | level: Verde | pkt_count: 4 
2025-08-27 18:59:00 | 192.168.1.143 | level: Verde | pkt_count: 16 
2025-08-27 18:59:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-27 18:59:00 | 192.168.1.100 | level: Verde | pkt_count: 4 
2025-08-27 18:59:00 | 192.168.1.143 | level: Verde | pkt_count: 19 
2025-08-27 18:59:00 | 192.168.1.149 | level: Verde | pkt_count: 6 
2025-08-27 18:59:00 | 192.168.1.254 | level: Verde | pkt_count: 9 
2025-08-27 19:00:00 | 192.168.1.100 | level: Verde | pkt_count: 8 
2025-08-27 19:00:00 | 192.168.1.143 | level: Verde | pkt_count: 16 
2025-08-27 19:00:00 | 192.168.1.149 | level: Verde | pkt_count: 9 
2025-08-27 19:00:00 | 192.168.1.91 | level: Verde | pkt_count: 1 
2025-08-27 19:00:00 | 192.168.1.100 | level: Verde | pkt_count: 4 
2025-08-27 19:00:00 | 192.168.1.143 | level: Verde | pkt_count: 27 
2025-08-27 19:00:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-27 19:00:00 | 52.182.143.211 | level: Verde | pkt_count: 8 
2025-08-27 19:18:00 | 104.208.16.88 | level: Verde | pkt_count: 17 
2025-08-27 19:17:00 | 192.168.1.100 | level: Verde | pkt_count: 1 
2025-08-27 19:18:00 | 192.168.1.100 | level: Verde | pkt_count: 5 
2025-08-27 19:18:00 | 192.168.1.143 | level: Verde | pkt_count: 53 
2025-08-27 19:18:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-27 19:18:00 | 20.189.173.15 | level: Verde | pkt_count: 8 
2025-08-27 19:18:00 | 104.18.157.37 | level: Verde | pkt_count: 33 
2025-08-27 19:18:00 | 104.18.36.199 | level: Verde | pkt_count: 11 
2025-08-27 19:18:00 | 104.208.16.88 | level: Verde | pkt_count: 2 
2025-08-27 19:18:00 | 192.168.1.100 | level: Verde | pkt_count: 4 
2025-08-27 19:18:00 | 192.168.1.143 | level: Verde | pkt_count: 95 
2025-08-27 19:18:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-27 19:18:00 | 51.104.15.252 | level: Verde | pkt_count: 8 
2025-08-27 19:18:00 | 51.105.71.136 | level: Verde | pkt_count: 20 
2025-08-27 19:18:00 | 192.168.1.100 | level: Verde | pkt_count: 8 
2025-08-27 19:18:00 | 192.168.1.143 | level: Verde | pkt_count: 18 
2025-08-27 19:18:00 | 192.168.1.149 | level: Verde | pkt_count: 5 
2025-08-27 19:27:00 | 192.168.1.100 | level: Verde | pkt_count: 4 
2025-08-27 19:27:00 | 192.168.1.143 | level: Verde | pkt_count: 19 
2025-08-27 19:27:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-27 19:27:00 | 40.79.150.121 | level: Verde | pkt_count: 2 
2025-08-27 19:27:00 | 192.168.1.100 | level: Verde | pkt_count: 2 
2025-08-27 19:27:00 | 192.168.1.143 | level: Verde | pkt_count: 11 
2025-08-27 19:27:00 | 192.168.1.254 | level: Verde | pkt_count: 6 
2025-08-27 19:27:00 | 44.240.154.140 | level: Verde | pkt_count: 2 
2025-08-27 19:44:00 | 192.168.1.100 | level: Verde | pkt_count: 10 
2025-08-27 19:44:00 | 192.168.1.143 | level: Amarelo | pkt_count: 58 
2025-08-27 19:44:00 | 192.168.1.149 | level: Verde | pkt_count: 6 
2025-08-27 19:44:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-27 19:44:00 | 20.189.173.8 | level: Verde | pkt_count: 18 
2025-08-27 19:44:00 | 20.44.10.123 | level: Verde | pkt_count: 8 
2025-08-27 19:45:00 | 192.168.1.100 | level: Verde | pkt_count: 4 
2025-08-27 19:45:00 | 192.168.1.143 | level: Verde | pkt_count: 16 
2025-08-27 19:45:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 18:27:00 | 13.89.179.9 | level: Verde | pkt_count: 1 
2025-08-28 18:27:00 | 192.168.1.143 | level: Verde | pkt_count: 2 
2025-08-28 18:28:00 | 13.89.179.9 | level: Verde | pkt_count: 13 
2025-08-28 18:28:00 | 18.154.43.25 | level: Verde | pkt_count: 12 
2025-08-28 18:28:00 | 192.168.1.143 | level: Verde | pkt_count: 116 
2025-08-28 18:28:00 | 192.168.1.149 | level: Verde | pkt_count: 18 
2025-08-28 18:28:00 | 34.159.227.151 | level: Verde | pkt_count: 27 
2025-08-28 18:28:00 | 52.182.143.215 | level: Verde | pkt_count: 13 
2025-08-28 18:40:00 | 192.168.1.143 | level: Verde | pkt_count: 46 
2025-08-28 18:41:00 | 192.168.1.143 | level: Verde | pkt_count: 32 
2025-08-28 18:40:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-28 18:41:00 | 192.168.1.149 | level: Verde | pkt_count: 20 
2025-08-28 18:40:00 | 34.159.227.151 | level: Verde | pkt_count: 23 
2025-08-28 18:42:00 | 192.168.1.143 | level: Verde | pkt_count: 11 
2025-08-28 18:42:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 18:42:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-28 18:43:00 | 192.168.1.143 | level: Verde | pkt_count: 17 
2025-08-28 18:43:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-28 18:43:00 | 34.199.180.40 | level: Verde | pkt_count: 2 
2025-08-28 18:44:00 | 192.168.1.143 | level: Verde | pkt_count: 46 
2025-08-28 18:44:00 | 192.168.1.149 | level: Verde | pkt_count: 12 
2025-08-28 18:44:00 | 34.159.227.151 | level: Verde | pkt_count: 20 
2025-08-28 18:44:00 | 192.168.1.143 | level: Verde | pkt_count: 18 
2025-08-28 18:45:00 | 192.168.1.143 | level: Verde | pkt_count: 17 
2025-08-28 18:44:00 | 192.168.1.149 | level: Verde | pkt_count: 6 
2025-08-28 18:45:00 | 192.168.1.149 | level: Verde | pkt_count: 2 
2025-08-28 18:44:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-28 18:44:00 | 20.190.147.0 | level: Verde | pkt_count: 1 
2025-08-28 18:45:00 | 34.159.227.151 | level: Verde | pkt_count: 12 
2025-08-28 18:45:00 | 192.168.1.143 | level: Verde | pkt_count: 18 
2025-08-28 18:45:00 | 192.168.1.149 | level: Verde | pkt_count: 10 
2025-08-28 18:45:00 | 34.159.227.151 | level: Verde | pkt_count: 1 
2025-08-28 18:46:00 | 104.18.157.37 | level: Verde | pkt_count: 1 
2025-08-28 18:46:00 | 104.18.36.199 | level: Verde | pkt_count: 1 
2025-08-28 18:46:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-28 18:46:00 | 192.168.1.143 | level: Verde | pkt_count: 22 
2025-08-28 18:46:00 | 192.168.1.149 | level: Verde | pkt_count: 14 
2025-08-28 18:46:00 | 192.168.1.143 | level: Verde | pkt_count: 58 
2025-08-28 18:46:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-28 18:46:00 | 192.168.1.254 | level: Verde | pkt_count: 2 
2025-08-28 18:46:00 | 34.159.227.151 | level: Verde | pkt_count: 24 
2025-08-28 18:47:00 | 192.168.1.143 | level: Verde | pkt_count: 32 
2025-08-28 18:47:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-28 18:47:00 | 20.42.73.26 | level: Verde | pkt_count: 14 
2025-08-28 18:48:00 | 0.0.0.0 | level: Verde | pkt_count: 1 
2025-08-28 18:48:00 | 104.18.157.37 | level: Verde | pkt_count: 1 
2025-08-28 18:48:00 | 104.18.36.199 | level: Verde | pkt_count: 1 
2025-08-28 18:48:00 | 192.168.1.143 | level: Verde | pkt_count: 22 
2025-08-28 18:48:00 | 192.168.1.149 | level: Verde | pkt_count: 12 
2025-08-28 18:48:00 | 192.168.1.143 | level: Verde | pkt_count: 17 
2025-08-28 18:48:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-28 18:48:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-28 18:49:00 | 192.168.1.143 | level: Verde | pkt_count: 16 
2025-08-28 18:49:00 | 192.168.1.149 | level: Verde | pkt_count: 12 
2025-08-28 18:50:00 | 192.168.1.143 | level: Verde | pkt_count: 8 
2025-08-28 18:50:00 | 192.168.1.149 | level: Verde | pkt_count: 2 
2025-08-28 18:50:00 | 192.168.1.254 | level: Verde | pkt_count: 8 
2025-08-28 18:50:00 | 34.159.227.151 | level: Verde | pkt_count: 1 
2025-08-28 19:01:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-28 19:01:00 | 192.168.1.143 | level: Verde | pkt_count: 10 
2025-08-28 19:01:00 | 192.168.1.149 | level: Verde | pkt_count: 9 
2025-08-28 19:01:00 | 52.182.143.214 | level: Verde | pkt_count: 1 
2025-08-28 19:01:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-28 19:01:00 | 192.168.1.143 | level: Verde | pkt_count: 10 
2025-08-28 19:01:00 | 192.168.1.149 | level: Verde | pkt_count: 7 
2025-08-28 19:01:00 | 34.159.227.151 | level: Verde | pkt_count: 1 
2025-08-28 19:02:00 | 192.168.1.143 | level: Verde | pkt_count: 31 
2025-08-28 19:02:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 19:02:00 | 40.79.197.34 | level: Verde | pkt_count: 20 
2025-08-28 19:02:00 | 192.168.1.143 | level: Verde | pkt_count: 56 
2025-08-28 19:02:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 19:02:00 | 34.159.227.151 | level: Verde | pkt_count: 23 
2025-08-28 19:02:00 | 40.79.197.34 | level: Verde | pkt_count: 19 
2025-08-28 19:02:00 | 192.168.1.143 | level: Verde | pkt_count: 27 
2025-08-28 19:02:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 19:02:00 | 192.168.1.254 | level: Verde | pkt_count: 8 
2025-08-28 19:02:00 | 34.159.227.151 | level: Verde | pkt_count: 13 
2025-08-28 19:03:00 | 192.168.1.143 | level: Verde | pkt_count: 13 
2025-08-28 19:03:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 19:03:00 | 192.168.1.254 | level: Verde | pkt_count: 26 
2025-08-28 19:03:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-28 19:03:00 | 192.168.1.143 | level: Verde | pkt_count: 8 
2025-08-28 19:03:00 | 192.168.1.149 | level: Verde | pkt_count: 9 
2025-08-28 19:03:00 | 192.168.1.143 | level: Verde | pkt_count: 6 
2025-08-28 19:03:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 19:03:00 | 192.168.1.143 | level: Verde | pkt_count: 4 
2025-08-28 19:04:00 | 192.168.1.143 | level: Verde | pkt_count: 4 
2025-08-28 19:03:00 | 192.168.1.149 | level: Verde | pkt_count: 2 
2025-08-28 19:04:00 | 192.168.1.149 | level: Verde | pkt_count: 2 
2025-08-28 19:04:00 | 192.168.1.143 | level: Verde | pkt_count: 10 
2025-08-28 19:04:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 19:04:00 | 54.201.212.247 | level: Verde | pkt_count: 2 
2025-08-28 19:04:00 | 192.168.1.143 | level: Verde | pkt_count: 28 
2025-08-28 19:04:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 19:04:00 | 34.159.227.151 | level: Verde | pkt_count: 14 
2025-08-28 19:05:00 | 192.168.1.143 | level: Verde | pkt_count: 8 
2025-08-28 19:05:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 19:05:00 | 192.168.1.143 | level: Verde | pkt_count: 10 
2025-08-28 19:05:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 19:05:00 | 54.203.212.164 | level: Verde | pkt_count: 2 
2025-08-28 20:00:00 | 192.168.1.137 | level: Verde | pkt_count: 3 
2025-08-28 20:00:00 | 192.168.1.143 | level: Verde | pkt_count: 48 
2025-08-28 20:00:00 | 192.168.1.149 | level: Verde | pkt_count: 18 
2025-08-28 20:00:00 | 4.231.128.59 | level: Verde | pkt_count: 19 
2025-08-28 20:01:00 | 192.168.1.143 | level: Verde | pkt_count: 39 
2025-08-28 20:02:00 | 192.168.1.143 | level: Verde | pkt_count: 4 
2025-08-28 20:01:00 | 192.168.1.149 | level: Verde | pkt_count: 10 
2025-08-28 20:02:00 | 192.168.1.149 | level: Verde | pkt_count: 9 
2025-08-28 20:01:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-28 20:01:00 | 34.159.227.151 | level: Verde | pkt_count: 13 
2025-08-28 20:03:00 | 104.18.157.37 | level: Amarelo | pkt_count: 34 
2025-08-28 20:04:00 | 104.18.157.37 | level: Verde | pkt_count: 1 
2025-08-28 20:03:00 | 104.18.36.199 | level: Verde | pkt_count: 9 
2025-08-28 20:03:00 | 192.168.1.143 | level: Amarelo | pkt_count: 83 
2025-08-28 20:04:00 | 192.168.1.143 | level: Verde | pkt_count: 41 
2025-08-28 20:03:00 | 192.168.1.149 | level: Verde | pkt_count: 6 
2025-08-28 20:04:00 | 192.168.1.149 | level: Verde | pkt_count: 9 
2025-08-28 20:03:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-28 20:04:00 | 20.190.147.3 | level: Amarelo | pkt_count: 7 
2025-08-28 20:03:00 | 20.42.73.31 | level: Verde | pkt_count: 19 
2025-08-28 20:03:00 | 34.159.227.151 | level: Verde | pkt_count: 1 
2025-08-28 20:04:00 | 44.240.38.192 | level: Verde | pkt_count: 12 
2025-08-28 20:09:00 | 104.18.157.37 | level: Verde | pkt_count: 1 
2025-08-28 20:10:00 | 104.18.157.37 | level: Verde | pkt_count: 3 
2025-08-28 20:08:00 | 104.18.36.199 | level: Verde | pkt_count: 1 
2025-08-28 20:09:00 | 104.18.36.199 | level: Verde | pkt_count: 1 
2025-08-28 20:10:00 | 104.18.36.199 | level: Verde | pkt_count: 2 
2025-08-28 20:10:00 | 192.168.1.137 | level: Verde | pkt_count: 5 
2025-08-28 20:08:00 | 192.168.1.143 | level: Verde | pkt_count: 11 
2025-08-28 20:09:00 | 192.168.1.143 | level: Amarelo | pkt_count: 166 
2025-08-28 20:10:00 | 192.168.1.143 | level: Amarelo | pkt_count: 95 
2025-08-28 20:08:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 20:09:00 | 192.168.1.149 | level: Verde | pkt_count: 24 
2025-08-28 20:10:00 | 192.168.1.149 | level: Verde | pkt_count: 32 
2025-08-28 20:09:00 | 192.168.1.254 | level: Verde | pkt_count: 8 
2025-08-28 20:10:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-28 20:08:00 | 34.159.227.151 | level: Verde | pkt_count: 1 
2025-08-28 20:09:00 | 34.159.227.151 | level: Verde | pkt_count: 87 
2025-08-28 20:10:00 | 34.159.227.151 | level: Verde | pkt_count: 35 
2025-08-28 20:19:00 | 192.168.1.137 | level: Verde | pkt_count: 7 
2025-08-28 20:20:00 | 192.168.1.137 | level: Verde | pkt_count: 2 
2025-08-28 20:21:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-28 20:19:00 | 192.168.1.143 | level: Verde | pkt_count: 16 
2025-08-28 20:20:00 | 192.168.1.143 | level: Verde | pkt_count: 55 
2025-08-28 20:21:00 | 192.168.1.143 | level: Verde | pkt_count: 29 
2025-08-28 20:19:00 | 192.168.1.149 | level: Verde | pkt_count: 14 
2025-08-28 20:20:00 | 192.168.1.149 | level: Verde | pkt_count: 31 
2025-08-28 20:21:00 | 192.168.1.149 | level: Verde | pkt_count: 14 
2025-08-28 20:19:00 | 192.168.1.254 | level: Verde | pkt_count: 8 
2025-08-28 20:20:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-28 20:21:00 | 192.168.1.254 | level: Verde | pkt_count: 20 
2025-08-28 20:24:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-28 20:25:00 | 192.168.1.137 | level: Verde | pkt_count: 2 
2025-08-28 20:23:00 | 192.168.1.143 | level: Verde | pkt_count: 16 
2025-08-28 20:24:00 | 192.168.1.143 | level: Verde | pkt_count: 55 
2025-08-28 20:25:00 | 192.168.1.143 | level: Verde | pkt_count: 28 
2025-08-28 20:23:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-28 20:24:00 | 192.168.1.149 | level: Verde | pkt_count: 28 
2025-08-28 20:25:00 | 192.168.1.149 | level: Verde | pkt_count: 18 
2025-08-28 20:24:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-28 20:25:00 | 254.1.168.192 | level: Verde | pkt_count: 1 
2025-08-28 20:27:00 | 104.18.157.37 | level: Amarelo | pkt_count: 32 
2025-08-28 20:28:00 | 104.18.157.37 | level: Verde | pkt_count: 1 
2025-08-28 20:27:00 | 13.107.5.93 | level: Verde | pkt_count: 28 
2025-08-28 20:27:00 | 172.64.151.57 | level: Verde | pkt_count: 9 
2025-08-28 20:28:00 | 172.64.151.57 | level: Verde | pkt_count: 1 
2025-08-28 20:28:00 | 192.168.1.137 | level: Verde | pkt_count: 2 
2025-08-28 20:29:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-28 20:27:00 | 192.168.1.143 | level: Verde | pkt_count: 77 
2025-08-28 20:28:00 | 192.168.1.143 | level: Amarelo | pkt_count: 114 
2025-08-28 20:29:00 | 192.168.1.143 | level: Verde | pkt_count: 32 
2025-08-28 20:27:00 | 192.168.1.149 | level: Verde | pkt_count: 8 
2025-08-28 20:28:00 | 192.168.1.149 | level: Verde | pkt_count: 32 
2025-08-28 20:29:00 | 192.168.1.149 | level: Verde | pkt_count: 16 
2025-08-28 20:28:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-28 20:28:00 | 34.120.68.241 | level: Verde | pkt_count: 29 
2025-08-28 20:28:00 | 34.54.215.149 | level: Verde | pkt_count: 28 
2025-08-28 20:32:00 | 104.18.157.37 | level: Verde | pkt_count: 1 
2025-08-28 20:33:00 | 104.18.157.37 | level: Verde | pkt_count: 1 
2025-08-28 20:32:00 | 172.64.151.57 | level: Verde | pkt_count: 1 
2025-08-28 20:33:00 | 172.64.151.57 | level: Verde | pkt_count: 1 
2025-08-28 20:33:00 | 192.168.1.137 | level: Verde | pkt_count: 2 
2025-08-28 20:34:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-28 20:32:00 | 192.168.1.143 | level: Verde | pkt_count: 58 
2025-08-28 20:33:00 | 192.168.1.143 | level: Verde | pkt_count: 53 
2025-08-28 20:34:00 | 192.168.1.143 | level: Verde | pkt_count: 8 
2025-08-28 20:32:00 | 192.168.1.149 | level: Verde | pkt_count: 24 
2025-08-28 20:33:00 | 192.168.1.149 | level: Verde | pkt_count: 31 
2025-08-28 20:34:00 | 192.168.1.149 | level: Verde | pkt_count: 4 
2025-08-28 20:33:00 | 192.168.1.254 | level: Verde | pkt_count: 1 
2025-08-28 20:33:00 | 254.1.168.192 | level: Verde | pkt_count: 1 
2025-08-28 20:36:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-28 20:37:00 | 192.168.1.137 | level: Verde | pkt_count: 2 
2025-08-28 20:38:00 | 192.168.1.137 | level: Verde | pkt_count: 1 
2025-08-28 20:36:00 | 192.168.1.143 | level: Verde | pkt_count: 52 
2025-08-28 20:37:00 | 192.168.1.143 | level: Verde | pkt_count: 51 
2025-08-28 20:38:00 | 192.168.1.143 | level: Verde | pkt_count: 4 
2025-08-28 20:36:00 | 192.168.1.149 | level: Verde | pkt_count: 27 
